DateObserved,HourObserved,LocalTimeZone,ReportingArea,StateCode,Latitude,Longitude,ParameterName,AQI,Category
2020-05-01 ,0,AKT,Juneau,AK,58.3,-134.4167,PM2.5,33,"{'Number': 1, 'Name': 'Good'}"
2020-05-01 ,0,AKT,Juneau,AK,58.3,-134.4167,PM10,9,"{'Number': 1, 'Name': 'Good'}"
2020-05-02 ,0,AKT,Juneau,AK,58.3,-134.4167,PM2.5,45,"{'Number': 1, 'Name': 'Good'}"
2020-05-02 ,0,AKT,Juneau,AK,58.3,-134.4167,PM10,13,"{'Number': 1, 'Name': 'Good'}"
2020-05-03 ,0,AKT,Juneau,AK,58.3,-134.4167,PM2.5,7,"{'Number': 1, 'Name': 'Good'}"
2020-05-03 ,0,AKT,Juneau,AK,58.3,-134.4167,PM10,3,"{'Number': 1, 'Name': 'Good'}"
2020-05-04 ,0,AKT,Juneau,AK,58.3,-134.4167,PM2.5,14,"{'Number': 1, 'Name': 'Good'}"
2020-05-04 ,0,AKT,Juneau,AK,58.3,-134.4167,PM10,5,"{'Number': 1, 'Name': 'Good'}"
2020-05-05 ,0,AKT,Juneau,AK,58.3,-134.4167,PM2.5,19,"{'Number': 1, 'Name': 'Good'}"
2020-05-05 ,0,AKT,Juneau,AK,58.3,-134.4167,PM10,6,"{'Number': 1, 'Name': 'Good'}"
2020-05-06 ,0,AKT,Juneau,AK,58.3,-134.4167,PM2.5,12,"{'Number': 1, 'Name': 'Good'}"
2020-05-06 ,0,AKT,Juneau,AK,58.3,-134.4167,PM10,7,"{'Number': 1, 'Name': 'Good'}"
2020-05-07 ,0,AKT,Juneau,AK,58.3,-134.4167,PM2.5,15,"{'Number': 1, 'Name': 'Good'}"
2020-05-07 ,0,AKT,Juneau,AK,58.3,-134.4167,PM10,7,"{'Number': 1, 'Name': 'Good'}"
2020-05-08 ,0,AKT,Juneau,AK,58.3,-134.4167,PM2.5,40,"{'Number': 1, 'Name': 'Good'}"
2020-05-08 ,0,AKT,Juneau,AK,58.3,-134.4167,PM10,14,"{'Number': 1, 'Name': 'Good'}"
2020-05-09 ,0,AKT,Juneau,AK,58.3,-134.4167,PM2.5,41,"{'Number': 1, 'Name': 'Good'}"
2020-05-09 ,0,AKT,Juneau,AK,58.3,-134.4167,PM10,15,"{'Number': 1, 'Name': 'Good'}"
2020-05-10 ,0,AKT,Juneau,AK,58.3,-134.4167,PM2.5,40,"{'Number': 1, 'Name': 'Good'}"
2020-05-10 ,0,AKT,Juneau,AK,58.3,-134.4167,PM10,13,"{'Number': 1, 'Name': 'Good'}"
2020-05-11 ,0,AKT,Juneau,AK,58.3,-134.4167,PM2.5,22,"{'Number': 1, 'Name': 'Good'}"
2020-05-11 ,0,AKT,Juneau,AK,58.3,-134.4167,PM10,10,"{'Number': 1, 'Name': 'Good'}"
2020-05-12 ,0,AKT,Juneau,AK,58.3,-134.4167,PM2.5,33,"{'Number': 1, 'Name': 'Good'}"
2020-05-12 ,0,AKT,Juneau,AK,58.3,-134.4167,PM10,12,"{'Number': 1, 'Name': 'Good'}"
2020-05-13 ,0,AKT,Juneau,AK,58.3,-134.4167,PM2.5,32,"{'Number': 1, 'Name': 'Good'}"
2020-05-13 ,0,AKT,Juneau,AK,58.3,-134.4167,PM10,12,"{'Number': 1, 'Name': 'Good'}"
2020-05-14 ,0,AKT,Juneau,AK,58.3,-134.4167,PM2.5,19,"{'Number': 1, 'Name': 'Good'}"
2020-05-14 ,0,AKT,Juneau,AK,58.3,-134.4167,PM10,8,"{'Number': 1, 'Name': 'Good'}"
2020-05-15 ,0,AKT,Juneau,AK,58.3,-134.4167,PM2.5,21,"{'Number': 1, 'Name': 'Good'}"
2020-05-15 ,0,AKT,Juneau,AK,58.3,-134.4167,PM10,7,"{'Number': 1, 'Name': 'Good'}"
2020-05-16 ,0,AKT,Juneau,AK,58.3,-134.4167,PM2.5,30,"{'Number': 1, 'Name': 'Good'}"
2020-05-16 ,0,AKT,Juneau,AK,58.3,-134.4167,PM10,10,"{'Number': 1, 'Name': 'Good'}"
2020-05-17 ,0,AKT,Juneau,AK,58.3,-134.4167,PM2.5,26,"{'Number': 1, 'Name': 'Good'}"
2020-05-17 ,0,AKT,Juneau,AK,58.3,-134.4167,PM10,10,"{'Number': 1, 'Name': 'Good'}"
2020-05-18 ,0,AKT,Juneau,AK,58.3,-134.4167,PM2.5,19,"{'Number': 1, 'Name': 'Good'}"
2020-05-18 ,0,AKT,Juneau,AK,58.3,-134.4167,PM10,8,"{'Number': 1, 'Name': 'Good'}"
2020-05-19 ,0,AKT,Juneau,AK,58.3,-134.4167,PM2.5,9,"{'Number': 1, 'Name': 'Good'}"
2020-05-19 ,0,AKT,Juneau,AK,58.3,-134.4167,PM10,2,"{'Number': 1, 'Name': 'Good'}"
2020-05-20 ,0,AKT,Juneau,AK,58.3,-134.4167,PM10,5,"{'Number': 1, 'Name': 'Good'}"
2020-05-21 ,0,AKT,Juneau,AK,58.3,-134.4167,PM2.5,23,"{'Number': 1, 'Name': 'Good'}"
2020-05-21 ,0,AKT,Juneau,AK,58.3,-134.4167,PM10,8,"{'Number': 1, 'Name': 'Good'}"
2020-05-22 ,0,AKT,Juneau,AK,58.3,-134.4167,PM2.5,20,"{'Number': 1, 'Name': 'Good'}"
2020-05-22 ,0,AKT,Juneau,AK,58.3,-134.4167,PM10,8,"{'Number': 1, 'Name': 'Good'}"
2020-05-23 ,0,AKT,Juneau,AK,58.3,-134.4167,PM2.5,16,"{'Number': 1, 'Name': 'Good'}"
2020-05-23 ,0,AKT,Juneau,AK,58.3,-134.4167,PM10,4,"{'Number': 1, 'Name': 'Good'}"
2020-05-24 ,0,AKT,Juneau,AK,58.3,-134.4167,PM10,2,"{'Number': 1, 'Name': 'Good'}"
2020-05-25 ,0,AKT,Juneau,AK,58.3,-134.4167,PM10,3,"{'Number': 1, 'Name': 'Good'}"
