DateObserved,HourObserved,LocalTimeZone,ReportingArea,StateCode,Latitude,Longitude,ParameterName,AQI,Category
2020-05-28 ,0,EST,Concord,NH,43.2069,-71.5342,OZONE,25,"{'Number': 1, 'Name': 'Good'}"
2020-05-29 ,0,EST,Concord,NH,43.2069,-71.5342,OZONE,33,"{'Number': 1, 'Name': 'Good'}"
2020-05-30 ,0,EST,Concord,NH,43.2069,-71.5342,OZONE,36,"{'Number': 1, 'Name': 'Good'}"
2020-05-31 ,0,EST,Concord,NH,43.2069,-71.5342,OZONE,31,"{'Number': 1, 'Name': 'Good'}"
2020-05-01 ,0,EST,Rider University,NJ,40.2828,-74.7467,OZONE,41,"{'Number': 1, 'Name': 'Good'}"
2020-05-01 ,0,EST,Rider University,NJ,40.2828,-74.7467,PM2.5,29,"{'Number': 1, 'Name': 'Good'}"
2020-05-02 ,0,EST,Rider University,NJ,40.2828,-74.7467,OZONE,40,"{'Number': 1, 'Name': 'Good'}"
2020-05-02 ,0,EST,Rider University,NJ,40.2828,-74.7467,PM2.5,15,"{'Number': 1, 'Name': 'Good'}"
2020-05-03 ,0,EST,Rider University,NJ,40.2828,-74.7467,OZONE,48,"{'Number': 1, 'Name': 'Good'}"
2020-05-03 ,0,EST,Rider University,NJ,40.2828,-74.7467,PM2.5,22,"{'Number': 1, 'Name': 'Good'}"
2020-05-04 ,0,EST,Rider University,NJ,40.2828,-74.7467,OZONE,43,"{'Number': 1, 'Name': 'Good'}"
2020-05-04 ,0,EST,Rider University,NJ,40.2828,-74.7467,PM2.5,42,"{'Number': 1, 'Name': 'Good'}"
2020-05-05 ,0,EST,Rider University,NJ,40.2828,-74.7467,OZONE,43,"{'Number': 1, 'Name': 'Good'}"
2020-05-05 ,0,EST,Rider University,NJ,40.2828,-74.7467,PM2.5,17,"{'Number': 1, 'Name': 'Good'}"
2020-05-06 ,0,EST,Rider University,NJ,40.2828,-74.7467,OZONE,37,"{'Number': 1, 'Name': 'Good'}"
2020-05-06 ,0,EST,Rider University,NJ,40.2828,-74.7467,PM2.5,35,"{'Number': 1, 'Name': 'Good'}"
2020-05-07 ,0,EST,Rider University,NJ,40.2828,-74.7467,OZONE,44,"{'Number': 1, 'Name': 'Good'}"
2020-05-07 ,0,EST,Rider University,NJ,40.2828,-74.7467,PM2.5,21,"{'Number': 1, 'Name': 'Good'}"
2020-05-08 ,0,EST,Rider University,NJ,40.2828,-74.7467,OZONE,30,"{'Number': 1, 'Name': 'Good'}"
2020-05-08 ,0,EST,Rider University,NJ,40.2828,-74.7467,PM2.5,23,"{'Number': 1, 'Name': 'Good'}"
2020-05-09 ,0,EST,Rider University,NJ,40.2828,-74.7467,OZONE,31,"{'Number': 1, 'Name': 'Good'}"
2020-05-09 ,0,EST,Rider University,NJ,40.2828,-74.7467,PM2.5,11,"{'Number': 1, 'Name': 'Good'}"
2020-05-10 ,0,EST,Rider University,NJ,40.2828,-74.7467,OZONE,44,"{'Number': 1, 'Name': 'Good'}"
2020-05-10 ,0,EST,Rider University,NJ,40.2828,-74.7467,PM2.5,21,"{'Number': 1, 'Name': 'Good'}"
2020-05-11 ,0,EST,Rider University,NJ,40.2828,-74.7467,OZONE,33,"{'Number': 1, 'Name': 'Good'}"
2020-05-11 ,0,EST,Rider University,NJ,40.2828,-74.7467,PM2.5,24,"{'Number': 1, 'Name': 'Good'}"
2020-05-12 ,0,EST,Rider University,NJ,40.2828,-74.7467,OZONE,39,"{'Number': 1, 'Name': 'Good'}"
2020-05-12 ,0,EST,Rider University,NJ,40.2828,-74.7467,PM2.5,17,"{'Number': 1, 'Name': 'Good'}"
2020-05-13 ,0,EST,Rider University,NJ,40.2828,-74.7467,OZONE,47,"{'Number': 1, 'Name': 'Good'}"
2020-05-13 ,0,EST,Rider University,NJ,40.2828,-74.7467,PM2.5,24,"{'Number': 1, 'Name': 'Good'}"
2020-05-14 ,0,EST,Rider University,NJ,40.2828,-74.7467,OZONE,49,"{'Number': 1, 'Name': 'Good'}"
2020-05-14 ,0,EST,Rider University,NJ,40.2828,-74.7467,PM2.5,22,"{'Number': 1, 'Name': 'Good'}"
2020-05-15 ,0,EST,Rider University,NJ,40.2828,-74.7467,OZONE,67,"{'Number': 2, 'Name': 'Moderate'}"
2020-05-15 ,0,EST,Rider University,NJ,40.2828,-74.7467,PM2.5,38,"{'Number': 1, 'Name': 'Good'}"
2020-05-16 ,0,EST,Rider University,NJ,40.2828,-74.7467,OZONE,39,"{'Number': 1, 'Name': 'Good'}"
2020-05-16 ,0,EST,Rider University,NJ,40.2828,-74.7467,PM2.5,23,"{'Number': 1, 'Name': 'Good'}"
2020-05-17 ,0,EST,Rider University,NJ,40.2828,-74.7467,OZONE,40,"{'Number': 1, 'Name': 'Good'}"
2020-05-17 ,0,EST,Rider University,NJ,40.2828,-74.7467,PM2.5,26,"{'Number': 1, 'Name': 'Good'}"
2020-05-18 ,0,EST,Rider University,NJ,40.2828,-74.7467,OZONE,42,"{'Number': 1, 'Name': 'Good'}"
2020-05-18 ,0,EST,Rider University,NJ,40.2828,-74.7467,PM2.5,21,"{'Number': 1, 'Name': 'Good'}"
2020-05-19 ,0,EST,Rider University,NJ,40.2828,-74.7467,OZONE,39,"{'Number': 1, 'Name': 'Good'}"
2020-05-19 ,0,EST,Rider University,NJ,40.2828,-74.7467,PM2.5,24,"{'Number': 1, 'Name': 'Good'}"
2020-05-20 ,0,EST,Rider University,NJ,40.2828,-74.7467,OZONE,37,"{'Number': 1, 'Name': 'Good'}"
2020-05-20 ,0,EST,Rider University,NJ,40.2828,-74.7467,PM2.5,23,"{'Number': 1, 'Name': 'Good'}"
2020-05-21 ,0,EST,Rider University,NJ,40.2828,-74.7467,OZONE,38,"{'Number': 1, 'Name': 'Good'}"
