DateObserved,HourObserved,LocalTimeZone,ReportingArea,StateCode,Latitude,Longitude,ParameterName,AQI,Category
2020-05-25 ,0,CST,Springfield,IL,39.844,-89.605,OZONE,38,"{'Number': 1, 'Name': 'Good'}"
2020-05-25 ,0,CST,Springfield,IL,39.844,-89.605,PM2.5,23,"{'Number': 1, 'Name': 'Good'}"
2020-05-26 ,0,CST,Springfield,IL,39.844,-89.605,OZONE,38,"{'Number': 1, 'Name': 'Good'}"
2020-05-26 ,0,CST,Springfield,IL,39.844,-89.605,PM2.5,27,"{'Number': 1, 'Name': 'Good'}"
2020-05-27 ,0,CST,Springfield,IL,39.844,-89.605,OZONE,31,"{'Number': 1, 'Name': 'Good'}"
2020-05-27 ,0,CST,Springfield,IL,39.844,-89.605,PM2.5,21,"{'Number': 1, 'Name': 'Good'}"
2020-05-28 ,0,CST,Springfield,IL,39.844,-89.605,OZONE,50,"{'Number': 1, 'Name': 'Good'}"
2020-05-28 ,0,CST,Springfield,IL,39.844,-89.605,PM2.5,17,"{'Number': 1, 'Name': 'Good'}"
2020-05-29 ,0,CST,Springfield,IL,39.844,-89.605,OZONE,42,"{'Number': 1, 'Name': 'Good'}"
2020-05-29 ,0,CST,Springfield,IL,39.844,-89.605,PM2.5,14,"{'Number': 1, 'Name': 'Good'}"
2020-05-30 ,0,CST,Springfield,IL,39.844,-89.605,OZONE,38,"{'Number': 1, 'Name': 'Good'}"
2020-05-30 ,0,CST,Springfield,IL,39.844,-89.605,PM2.5,16,"{'Number': 1, 'Name': 'Good'}"
2020-05-31 ,0,CST,Springfield,IL,39.844,-89.605,OZONE,50,"{'Number': 1, 'Name': 'Good'}"
2020-05-31 ,0,CST,Springfield,IL,39.844,-89.605,PM2.5,21,"{'Number': 1, 'Name': 'Good'}"
2020-05-01 ,0,EST,Indianapolis,IN,39.749,-86.186,OZONE,46,"{'Number': 1, 'Name': 'Good'}"
2020-05-01 ,0,EST,Indianapolis,IN,39.749,-86.186,PM2.5,29,"{'Number': 1, 'Name': 'Good'}"
2020-05-01 ,0,EST,Indianapolis,IN,39.749,-86.186,PM10,15,"{'Number': 1, 'Name': 'Good'}"
2020-05-02 ,0,EST,Indianapolis,IN,39.749,-86.186,OZONE,58,"{'Number': 2, 'Name': 'Moderate'}"
2020-05-02 ,0,EST,Indianapolis,IN,39.749,-86.186,PM2.5,40,"{'Number': 1, 'Name': 'Good'}"
2020-05-02 ,0,EST,Indianapolis,IN,39.749,-86.186,PM10,22,"{'Number': 1, 'Name': 'Good'}"
2020-05-03 ,0,EST,Indianapolis,IN,39.749,-86.186,OZONE,46,"{'Number': 1, 'Name': 'Good'}"
2020-05-03 ,0,EST,Indianapolis,IN,39.749,-86.186,PM2.5,40,"{'Number': 1, 'Name': 'Good'}"
2020-05-03 ,0,EST,Indianapolis,IN,39.749,-86.186,PM10,20,"{'Number': 1, 'Name': 'Good'}"
2020-05-04 ,0,EST,Indianapolis,IN,39.749,-86.186,OZONE,32,"{'Number': 1, 'Name': 'Good'}"
2020-05-04 ,0,EST,Indianapolis,IN,39.749,-86.186,PM2.5,23,"{'Number': 1, 'Name': 'Good'}"
2020-05-04 ,0,EST,Indianapolis,IN,39.749,-86.186,PM10,13,"{'Number': 1, 'Name': 'Good'}"
2020-05-05 ,0,EST,Indianapolis,IN,39.749,-86.186,OZONE,33,"{'Number': 1, 'Name': 'Good'}"
2020-05-05 ,0,EST,Indianapolis,IN,39.749,-86.186,PM2.5,20,"{'Number': 1, 'Name': 'Good'}"
2020-05-05 ,0,EST,Indianapolis,IN,39.749,-86.186,PM10,10,"{'Number': 1, 'Name': 'Good'}"
2020-05-06 ,0,EST,Indianapolis,IN,39.749,-86.186,OZONE,43,"{'Number': 1, 'Name': 'Good'}"
2020-05-06 ,0,EST,Indianapolis,IN,39.749,-86.186,PM2.5,23,"{'Number': 1, 'Name': 'Good'}"
